,junsi_name,start,end,place
258,한경희 : 별별 빌리지,2021.03.26.,2021.11.28.,클레이아크 김해미술관
259,김도원 : 흙이 민화의 색을 가질 때,2021.03.15.,2021.08.31.,한국민화뮤지엄
260,기세와 여운,2021.03.13.,2021.08.29.,뮤지엄 산
261,2021 금강자연미술프레비엔날레 자연미술 상설작품전,2021.03.05.,2021.11.30.,연미산자연미술공원
262,달: 일곱 개의 달이 뜨다,2021.03.26.,2021.11.28.,클레이아크김해미술관 돔하우스
263,혜강 : 분홍저고리를 입은 소녀,2021.02.01.,2021.06.30.,선샤인스튜디오
264,"박대성 : 서화, 조응하다",2020.12.07.,2021.06.20.,경주엑스포 솔거미술관
265,국립현대미술관 드로잉 소장품,2020.12.01.,2021.10.31.,국립현대미술관 청주
266,오희문의 난중일기 쇄미록 - 그래도 삶은 계속된다,2020.10.13.,2021.08.15.,국립진주박물관
267,한승구 : 7001번째 오크 나무,2021.05.25.,2021.06.14.,아트노이드178
268,"김채린 : Small Moments, Great Memories",2021.06.01.,2021.06.06.,아트스페이스 블루스크린
269,행복을 울리는 하루,2021.06.02.,2021.06.15.,스페이스 엄
270,"시간의 숲, 향기를 만나다",2021.05.26.,2021.06.14.,돈화문갤러리
271,김지은 : 낯선 도시에 도착했을 때는 계절이 바뀌고 있었다,2021.06.02.,2021.06.13.,팔레드서울
272,별에서 일어나다,2021.05.29.,2021.06.03.,서울갤러리
273,2021 갤러리비 소장작품전,2021.05.26.,2021.06.15.,갤러리 비
274,편소정 : more is more,2021.05.26.,2021.06.12.,크래프트 온 더 힐
275,황나현 : FAIRY TALE,2021.06.01.,2021.06.09.,갤러리 마롱
276,조예솔 : 세상공업,2021.05.23.,2021.06.06.,옥보단
277,김호두 : OO을 찾아서,2021.05.25.,2021.06.06.,가삼로지을
278,김형석 : 모로코 온더로드,2021.05.29.,2021.06.13.,인사동 코트
279,One afternoon in MAY,2021.05.21.,2021.06.04.,아트비프로젝트
280,강사이 : 3분 내외의 물체,2021.05.22.,2021.06.13.,킵인터치
281,김주눈 : The sun was gone...but nothing happened,2021.05.27.,2021.06.09.,전시공간백영
282,김가범 : BLUE FOREST,2021.06.01.,2021.06.30.,아트컨티뉴
283,제니조 : 큰 창을 향해 반짝이는 그림자전 Pt.2,2021.05.25.,2021.06.12.,김세중미술관
284,김희진 : 낯선 몸짓들,2021.05.30.,2021.06.13.,카페드아미디
285,허은선 : Resilience : True Freedom,2021.05.25.,2021.06.13.,A BUNKER
286,"지금, 우리-Craft",2021.05.20.,2021.06.04.,artist run space Kimyo
287,안민 : COLLISION,2021.05.19.,2021.06.06.,인영갤러리
288,강보송 : Little Fantasia,2021.05.18.,2021.06.12.,갤러리반크
